nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
568,Edgware,,5473,4363,2749,5258,3766,2709,3.46
774,Edgware Road (Bak),,5562,3871,2478,5618,3892,2418,3.52
569,Edgware Road,,9738,5851,3839,9810,5665,3761,5.99
570,Elephant & Castle,,28194,18015,12652,26402,17650,12177,17.13
571,Elm Park,,4100,1939,895,3611,1533,879,2.24
542,Embankment,,31118,25597,13811,31042,25990,12700,19.97
572,Epping,,3935,2422,1407,3561,2246,1330,2.30
574,Euston,,41701,24786,17995,42195,23709,16512,25.78
575,Euston Square,,17245,5564,3998,17759,6298,4239,9.96
576,Fairlop,,1217,600,309,1140,593,341,0.70
577,Farringdon,,34108,8359,4429,32664,8957,3897,18.28
578,Finchley Central,,8020,5963,2912,7805,5303,3059,4.94
579,Finchley Road,,15550,11513,7635,14945,10802,7662,9.78
580,Finsbury Park,,41266,33387,18981,35854,26554,17845,24.80
581,Fulham Broadway,,15836,13703,7293,16078,12958,6783,10.29
582,Gants Hill,,7750,4003,2649,7316,3830,2577,4.53
583,Gloucester Road,,21232,15453,11463,20941,16037,10556,13.61
584,Golders Green,,11910,9091,6560,11709,8102,6539,7.64
585,Goldhawk Road,,2556,1883,1071,2496,1677,1121,1.59
586,Goodge Street,,13679,5830,3203,13797,6018,3046,7.94
587,Grange Hill,,729,322,146,648,261,135,0.40
588,Great Portland Street  ,,10989,4324,2859,10687,3894,2223,6.21
590,Green Park,,46339,23978,14283,53304,31876,18264,30.03
589,Greenford,,6089,3795,2140,5335,3468,2052,3.52
591,Gunnersbury,,6700,2910,1796,5830,2775,1462,3.66
592,Hainault,,3898,1800,1073,3737,1682,1112,2.24
593,Hammersmith (Dis),,42846,31001,18726,43407,29750,18469,27.18
773,Hammersmith (H&C),,9906,6853,4158,11524,8571,5373,6.79
594,Hampstead,,6324,5169,3773,6697,5372,4121,4.31
